original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,county_code,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
1,"43 Southwark Park Road, SE16, London, UK",51.4922483,-0.0621761,"Southwark Park Road, London, SE16 3TP, United Kingdom",,Southwark Park Road,Southwark Park Road,SE16 3TP,London Borough of Southwark,,Bermondsey,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,"49 Southwark Park road, Bermondsey, SE16, London, UK",51.4926871,-0.0653908,"191 Southwark Park Road, London, SE16 3TX, United Kingdom",191,,Southwark Park Road,SE16 3TX,London Borough of Southwark,,Bermondsey,London,Greater London,England,ENG,United Kingdom,gb,0.252,0.7,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,"84 Southwark Park Road, SE16, London, UK",51.4922483,-0.0621761,"Southwark Park Road, London, SE16 3TP, United Kingdom",,Southwark Park Road,Southwark Park Road,SE16 3TP,London Borough of Southwark,,Bermondsey,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4,"141 Braidwood Road, Catford SE6, London, UK",51.4408484,-0.0053336,"Braidwood Road, London, SE6 1QU, United Kingdom",,Braidwood Road,Braidwood Road,SE6 1QU,London Borough of Lewisham,,Catford South,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5,"129 Killearn Road, Catford SE6, London, UK",51.4415073,-0.0054617,"Killearn Road, London, SE6 1BS, United Kingdom",,Killearn Road,Killearn Road,SE6 1BS,London Borough of Lewisham,,Catford South,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,"27 Crutchley Road, Downham, London, UK",51.4367387,0.0052611,"Crutchley Road, London, SE6 1PZ, United Kingdom",,Crutchley Road,Crutchley Road,SE6 1PZ,London Borough of Lewisham,,Downham,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7,"Sandhurst Road School, Catford, SE6, London, UK",51.364587,0.10051,"Sandhurst Road, London, United Kingdom",,,Sandhurst Road,,Bromley,,Crofton,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,"5 Bacon Grove, Bermondsey, SE1, London, UK",51.4949051,-0.0765862,"Bacon Grove, London, SE1 5SN, United Kingdom",,Bacon Grove,Bacon Grove,SE1 5SN,London Borough of Southwark,,Old Kent Road,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,"54 Laleham Road Catford, SE6, London, UK",51.4453453,-0.0131228,"Laleham Road, London, SE6 2HU, United Kingdom",,Laleham Road,Laleham Road,SE6 2HU,London Borough of Lewisham,,Hither Green,London,Greater London,England,ENG,United Kingdom,gb,0.33333333333333337,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,"5 Chalsey Road, Brokerley, SE6, London, UK",51.4602075,-0.0304624,"Chalsey Road, London, SE4 1YW, United Kingdom",,Chalsey Road,Chalsey Road,SE4 1YW,London Borough of Lewisham,,Brockley,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,"84 Tyrwhitt Road, Brockley, SE4, London, UK",51.4650128,-0.0243932,"Tyrwhitt Road, London, SE4 1QD, United Kingdom",,Tyrwhitt Road,Tyrwhitt Road,SE4 1QD,London Borough of Lewisham,,Ladywell,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12,"20 Jutland Road, Catford SE6, London, UK",51.5209926,0.0225304,"20 Jutland Road, London, E13 8JL, United Kingdom",20,,Jutland Road,E13 8JL,Newham,,Plaistow,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
13,"Jutland Road Catford SE6, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
14,"86 Torridon Road, Catford SE6, London, UK",51.4398089,-0.0018939,"86 Torridon Road, London, SE6 1RG, United Kingdom",86,,Torridon Road,SE6 1RG,Lewisham,,Catford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
15,"91 Ardgowan Road, Catford SE6, London, UK",51.4428804,-0.0009128,"91 Ardgowan Road, London, SE6 1LT, United Kingdom",91,,Ardgowan Road,SE6 1LT,Lewisham,,Catford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
16,"96 Tressillain Road, Brockley SE4, London, UK",51.4615611,-0.03709388057694077,"96 Foxberry Road, London, SE4 2SH, United Kingdom",96,,Foxberry Road,SE4 2SH,London Borough of Lewisham,,Brockley,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17,"Tustin Street, Camberwell, SE16 , London, UK",51.51668385,-0.11936737923024118,"St Anselm and St Cecilia, 310 Kingsway, London, WC2A 3JA, United Kingdom",310,St Anselm and St Cecilia,Kingsway,WC2A 3JA,London Borough of Camden,,Holborn,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,"503 Old Kent Road, SE1, London, UK",51.4850532,-0.0690983,"503 Old Kent Road, London, SE1 5ES, United Kingdom",503,,Old Kent Road,SE1 5ES,Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
19,"Avondale Square SE1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
20,"115 Fordel Road, Lewisham SE13, London, UK",51.44893135,-0.011349430438758489,"115 Farley Road, London, SE6 2AR, United Kingdom",115,,Farley Road,SE6 2AR,London Borough of Lewisham,,Hither Green,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,"108 Fordel  Road, Catford, SE6, London, UK",51.4434907,-0.005707,"Fordel Road, London, SE6 1XS, United Kingdom",,Fordel Road,Fordel Road,SE6 1XS,London Borough of Lewisham,,Catford South,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,"138 Engleheart Road, Catford,SE6, London, UK",51.4441242,-0.0170541,"Engleheart Road, London, SE6 2HP, United Kingdom",,Engleheart Road,Engleheart Road,SE6 2HP,London Borough of Lewisham,,Catford South,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
23,"Adelaide Avnue, Brockley SE4, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
24,"Nos 82-184 inclusive, London, UK",,,,,,,,,,,,,,,,,,,,,,
25,"Ivy Lane, Brockley, SE4, London, UK",51.48848,-0.078356,"Ivy Church Lane, London, SE4, United Kingdom",,,Ivy Church Lane,SE4,Southwark,,Walworth,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
26,"Verney Road, Old Kent Road, SE16, London, UK",51.4835196,-0.06344065430581614,"Old Kent Road, London, S E16, United Kingdom",,Old Kent Road,,S E16,London Borough of Southwark,,Old Kent Road,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,"Verney Road, Old Kent Road, SE16, London, UK",51.4835196,-0.06344065430581614,"Old Kent Road, London, S E16, United Kingdom",,Old Kent Road,,S E16,London Borough of Southwark,,Old Kent Road,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
28,"127 Minard Road, Catford, SE6, London, UK",51.4457241,0.000557,"Minard Road, London, SE6 1NS, United Kingdom",,Minard Road,Minard Road,SE6 1NS,London Borough of Lewisham,,Hither Green,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
29,"124 Southwark Park Road, SE16, London, UK",51.4922483,-0.0621761,"Southwark Park Road, London, SE16 3TP, United Kingdom",,Southwark Park Road,Southwark Park Road,SE16 3TP,London Borough of Southwark,,Bermondsey,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,"613 Old Kent Road Se15, London, UK",51.4833419,-0.0646179,"613 Old Kent Road, London, S E15, United Kingdom",613,,Old Kent Road,S E15,Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
31,"709 Old Kent Road SE1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
32,"348 St. James' Road SE1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
33,"Sportsbank Street, Catford, SE6., London, UK",51.4439872,-0.0118096,"Sportsbank Street, London, SE6 2EB, United Kingdom",,Sportsbank Street,Sportsbank Street,SE6 2EB,London Borough of Lewisham,,Catford South,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
34,"101 Storks Road, Bermondsey, SE16, London, UK",51.478051449999995,-0.06489028497759111,"101 Friary Road, London, SE15 1PX, United Kingdom",101,,Friary Road,SE15 1PX,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,0.377027027027027,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35,"91 Ardgowan Road, Catford SE6, London, UK",51.4428804,-0.0009128,"91 Ardgowan Road, London, SE6 1LT, United Kingdom",91,,Ardgowan Road,SE6 1LT,Lewisham,,Catford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
36,"Chadwick road, Peckham, SE15, London, UK",51.468021,-0.073743,"Chadwick Road, London, S E15, United Kingdom",,,Chadwick Road,S E15,Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,"9 Love Walk, Camberwell, SE5, London, UK",51.4713727,-0.08858660586340295,"9 Love Walk, London, SE5 8AD, United Kingdom",9,,Love Walk,SE5 8AD,London Borough of Southwark,,Camberwell,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
38,"27 Claude Road, Peckham SE15, London, UK",51.5355413,0.026927115262003146,"27 Claude Road, London, E13 0QB, United Kingdom",27,,Claude Road,E13 0QB,London Borough of Newham,,Plaistow,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,"33 Claude Road, Peckham, SE15, London, UK",51.53536025,0.026970848649354028,"33 Claude Road, London, E13 0QB, United Kingdom",33,,Claude Road,E13 0QB,London Borough of Newham,,Plaistow,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,"190 Rye Lane, Peckham, SE15, London, UK",51.46708735,-0.06664018819182077,"190 Rye Lane, London, SE15 4RW, United Kingdom",190,,Rye Lane,SE15 4RW,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,"290 Southampton Way, Peckham, SE15, London, UK",51.4770102,-0.0802303,"Southampton Way, London, SE15 6FJ, United Kingdom",,Southampton Way,Southampton Way,SE15 6FJ,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
42,"77 Rye Lane, Peckham, SE15, London, UK",51.47123725,-0.06921067737225925,"77 Rye Lane, London, SE15 5EX, United Kingdom",77,,Rye Lane,SE15 5EX,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43,"75 Rye Lane, Peckham, SE15, London, UK",51.471275,-0.06924065000000518,"75 Rye Lane, London, SE15 5EX, United Kingdom",75,,Rye Lane,SE15 5EX,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,"66 East Surrey Grove, Peckham SE15, London, UK",51.4783421,-0.0753117,"East Surrey Grove, London, SE15 6PF, United Kingdom",,East Surrey Grove,East Surrey Grove,SE15 6PF,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45,"91 Coleman Road, Camberwell, SE5, London, UK",51.4906368,0.1464009,"Coleman Road, London, DA17 5AN, United Kingdom",,Coleman Road,Coleman Road,DA17 5AN,London Borough of Bexley,,Lower Belvedere,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,"58 Brownhill Road, Catford, London, UK",51.4456825,-0.0156626,"58 Brownhill Road, London, SE6 1DG, United Kingdom",58,,Brownhill Road,SE6 1DG,Lewisham,,Catford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
47,"7 Nunhead Green, Camberwell, SE15, London, UK",51.465096,-0.0593089,"7 Nunhead Green, London, S E15, United Kingdom",7,,Nunhead Green,S E15,Southwark,,Nunhead,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
48,"727, Old Kent Road, Camberwell, SE15, London, UK",51.4810956,-0.0603219,"727 Old Kent Road, London, S E15, United Kingdom",727,,Old Kent Road,S E15,Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,"52 Brownhill Road , London, UK",51.4457213,-0.015952,"52 Brownhill Road, London, SE6 2DN, United Kingdom",52,,Brownhill Road,SE6 2DN,Lewisham,,Catford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
50,"84 Tressillain Road, Brockley SE4, London, UK",51.47053745,-0.04168457295130609,"84,84A Jerningham Road, London, SE14 5NW, United Kingdom","84,84A",,Jerningham Road,SE14 5NW,London Borough of Lewisham,,New Cross Gate,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
51,"83 Grange Road, Bermondsey, SE1, London, UK",51.51011055,-0.29988260846228243,"83 Grange Road, London, W5 3PH, United Kingdom",83,,Grange Road,W5 3PH,London Borough of Ealing,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
52,"52 Southwark Park Road, SE16, London, UK",51.4922483,-0.0621761,"Southwark Park Road, London, SE16 3TP, United Kingdom",,Southwark Park Road,Southwark Park Road,SE16 3TP,London Borough of Southwark,,Bermondsey,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
53,"Prince Edward Road, E9, London, UK",51.5442637,-0.0251806,"Prince Edward Road, London, E9 5NN, United Kingdom",,Prince Edward Road,Prince Edward Road,E9 5NN,London Borough of Hackney,,Hackney Wick,London,Greater London,England,ENG,United Kingdom,gb,0.13164974549999997,0.3969,0.35720999999999997,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54,"12, Jewell Street, Mile End. E1, London, UK",51.525053,-0.040442,"Mile End, London, ENG, United Kingdom",,Mile End,,,Tower Hamlets,,Mile End,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
55,"12 Harford St, Stepney E1, London, UK",51.5229641,-0.0399405,"12 Harford Street, London, E1 4PQ, United Kingdom",12,,Harford Street,E1 4PQ,Tower Hamlets,,Stepney,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
56,"Hazelbank Road, Catford SE6, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.34363636363636363,0.63,,,,https://www.whosonfirst.org/docs/licenses/
57,"Plough Way, SE16, London, UK",51.491796,-0.04489,"Plough Way, London, S E16, United Kingdom",,,Plough Way,S E16,Southwark,,Surrey Quays,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
