original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
1,"16 Talwin Street, Bromley, E3, London, UK",51.5255908,-0.0126333,"Talwin Street, London, E3 3EB, United Kingdom",,Talwin Street,Talwin Street,E3 3EB,London Borough of Tower Hamlets,Bow,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,"63 Stebondale Street, Cubitt Town, E14, London, UK",51.4883121,-0.0094641,"Stebondale Street, London, E14 3DQ, United Kingdom",,Stebondale Street,Stebondale Street,E14 3DQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,"Glengall Grove, E14, London, UK",51.4952744,-0.010925,"Glengall Grove, London, E14 3HQ, United Kingdom",,Glengall Grove,Glengall Grove,E14 3HQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4,"174 Glengall grove, Cubitt Town, E14, London, UK",51.4952744,-0.010925,"Glengall Grove, London, E14 3HQ, United Kingdom",,Glengall Grove,Glengall Grove,E14 3HQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5,"172 Glengall Grove Cubitt Town, E14, London, UK",51.4952744,-0.010925,"Glengall Grove, London, E14 3HQ, United Kingdom",,Glengall Grove,Glengall Grove,E14 3HQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,"Alfred Street, Bow, E3, London, UK",51.5284532,-0.02631,"Alfred Street, London, E3 2BD, United Kingdom",,Alfred Street,Alfred Street,E3 2BD,London Borough of Tower Hamlets,Bow,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7,"26 Ely Terrace, Stepney E1, London, UK",51.516152,-0.046262,"Stepney, London, ENG, United Kingdom",,Stepney,,,Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
8,"Heybridge Avenue, SW16, London, UK",51.419074,-0.122546,"Heybridge Avenue, London, S W16, United Kingdom",,,Heybridge Avenue,S W16,Lambeth,Streatham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,"176, Glengall Grove, Cubitt Town, E14, London, UK",51.4952744,-0.010925,"Glengall Grove, London, E14 3HQ, United Kingdom",,Glengall Grove,Glengall Grove,E14 3HQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,"171 Stebondale Street, Cubitt Town, E14, London, UK",51.4883121,-0.0094641,"Stebondale Street, London, E14 3DQ, United Kingdom",,Stebondale Street,Stebondale Street,E14 3DQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
