"","Time","Location","Type.of.bomb","Damage.or.other","lat","lon","district"
"1",1940-09-07 00:08:00,"43 Southwark Park Road, SE16, London, UK","IB","Grocers: 3x2 roof damaged",51.4922483,-0.0621761,"Southwark"
"2",1940-09-07 00:10:00,"49 Southwark Park road, Bermondsey, SE16, London, UK","IB","Bakers: 3x2 roof damaged",51.4926871,-0.0653908,"Southwark"
"3",1940-09-07 00:15:00,"84 Southwark Park Road, SE16, London, UK","IB","front room on 1st floor and contents slightly damaged. 3x2 rood damage",51.4922483,-0.0621761,"Southwark"
"4",1940-09-07 00:18:00,"141 Braidwood Road, Catford SE6, London, UK","IB","10x6 roof damage",51.4408484,-0.0053336,"Lewisham"
"5",1940-09-07 00:20:00,"129 Killearn Road, Catford SE6, London, UK","IB","Front room on 1st floor severely damaged",51.4415073,-0.0054617,"Lewisham"
"6",1940-09-07 00:20:00,"27 Crutchley Road, Downham, London, UK","IB","IB on enclosed ground at rear of premises",51.4367387,0.0052611,"Lewisham"
"7",1940-09-07 00:20:00,"Sandhurst Road School, Catford, SE6, London, UK","IB","HM War Dept. Royal Air Force. Iron and Timer shed, 60x40 used as messroom and store room",51.364587,0.10051,"Bromley"
"8",1940-09-07 00:20:00,"5 Bacon Grove, Bermondsey, SE1, London, UK","IB","3x2 Wood fencing damage",51.4949051,-0.0765862,"Southwark"
"9",1940-09-07 00:21:00,"54 Laleham Road Catford, SE6, London, UK","IB","Middle room damaged",51.4453453,-0.0131228,"Lewisham"
"10",1940-09-07 00:26:00,"5 Chalsey Road, Brokerley, SE6, London, UK","EB","Private house damaged",51.4602075,-0.0304624,"Lewisham"
"11",1940-09-07 00:26:00,"84 Tyrwhitt Road, Brockley, SE4, London, UK","IB","2x1 roof damage",51.4650128,-0.0243932,"Lewisham"
"12",1940-09-07 00:27:00,"20 Jutland Road, Catford SE6, London, UK","EB","Five private houses severely damaged",51.5209926,0.0225304,"Newham"
"13",1940-09-07 00:27:00,"Jutland Road Catford SE6, London, UK","EB","17 private houses damaged",51.513263,-0.089878,"City of London"
"14",1940-09-07 00:27:00,"86 Torridon Road, Catford SE6, London, UK","IB","2x1 roof damage",51.4398089,-0.0018939,"Lewisham"
"15",1940-09-07 00:30:00,"91 Ardgowan Road, Catford SE6, London, UK","Shrapnel","2x1 roof damage",51.4428804,-0.0009128,"Lewisham"
"16",1940-09-07 00:30:00,"96 Tressillain Road, Brockley SE4, London, UK","EB","2 private houses damaged and 14 privates houses damaged",51.4615611,-0.0370938805769408,"Lewisham"
"17",1940-09-07 00:32:00,"Tustin Street, Camberwell, SE16 , London, UK","IB","2x1 roadway damage",51.51668385,-0.119367379230241,"Camden"
"18",1940-09-07 00:32:00,"503 Old Kent Road, SE1, London, UK","EB","back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.4850532,-0.0690983,"Southwark"
"19",1940-09-07 00:32:00,"Avondale Square SE1, London, UK","EB","back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.513263,-0.089878,"City of London"
"20",1940-09-07 00:33:00,"115 Fordel Road, Lewisham SE13, London, UK","IB","IB on enclosed ground at rear of premises",51.44893135,-0.0113494304387585,"Lewisham"
